Date,Adj Close,Close,High,Low,Open,Volume
2023-04-24,65.49,68.45,68.6,68.2,68.45,3710475
2023-04-25,64.68,67.6,68.45,67.55,68.45,8959381
2023-04-26,64.15,67.05,67.6,66.95,67.6,9250197
2023-04-27,64.29,67.2,67.45,66.9,67.1,4685809
2023-04-28,65.01,67.95,68.05,67.6,67.6,2912071
2023-05-02,65.11,68.05,68.25,67.75,68,3173697
2023-05-03,64.92,67.85,67.95,67.6,67.85,3290371
2023-05-04,65.01,67.95,68.05,67.55,67.75,1697321
2023-05-05,65.25,68.2,68.3,67.95,68.05,1543803
2023-05-08,65.63,68.6,68.8,68.4,68.5,4785443
2023-05-09,65.83,68.8,68.8,68.45,68.7,2197106
2023-05-10,65.35,68.3,68.75,68.1,68.7,2192799
2023-05-11,65.06,68,68.5,68,68.4,1846274
2023-05-12,64.87,67.8,67.95,67.6,67.8,2478843
2023-05-15,64.87,67.8,67.85,67.6,67.7,4199118
2023-05-16,65.63,68.6,68.8,68.2,68.2,3109929
2023-05-17,66.64,69.65,69.85,68.7,68.7,4590222
2023-05-18,67.5,70.55,70.6,70.15,70.15,5738394
2023-05-19,67.64,70.7,70.95,70.45,70.7,7681090
2023-05-22,67.6,70.65,70.8,70.5,70.7,2825722
2023-05-23,67.6,70.65,70.85,70.35,70.65,3173033
2023-05-24,67.26,70.3,70.55,70,70.55,2961628
2023-05-25,67.98,71.05,71.25,70.75,70.85,2761133
2023-05-26,69.56,72.7,72.75,71.65,71.65,9728246
2023-05-29,69.89,73.05,73.8,72.95,73.1,7128083
2023-05-30,70.04,73.2,73.25,72.95,73,5002568
2023-05-31,69.65,72.8,73.15,72.3,73.15,4006900
2023-06-01,69.08,72.2,72.45,72.05,72.3,3287661
2023-06-02,69.94,73.1,73.25,72.65,72.7,2922355
2023-06-05,69.75,72.9,73.15,72.8,73.1,4029170
2023-06-06,69.99,73.15,73.45,72.85,72.9,4858887
2023-06-07,70.75,73.95,74,73.4,73.4,2676849
2023-06-08,70.08,73.25,74,73,73.9,2661184
2023-06-09,70.7,73.9,73.95,73.4,73.4,1772744
2023-06-12,71.23,74.45,74.65,74.1,74.1,2794118
2023-06-13,72.71,76,76.1,75.25,75.3,6615160
2023-06-14,72.57,75.85,75.9,75.55,75.9,2160835
2023-06-15,72.86,76.15,76.3,75.85,75.85,4315819
2023-06-16,72.62,75.9,76.15,75.75,76.1,3912032
2023-06-19,72.57,75.85,75.95,75.5,75.75,2898132
2023-06-20,72.14,75.4,75.85,75.35,75.8,2906795
2023-06-21,72.19,75.45,75.65,75.2,75.3,5508775
2023-06-26,71.76,75,75.25,74.85,75.15,4877736
2023-06-27,71.52,74.75,75,74.5,74.75,3328776
2023-06-28,71.42,74.65,75.2,74.55,75,3610215
2023-06-29,71.42,74.65,75.5,74.55,75,2876587
2023-06-30,71.52,74.75,74.75,74.15,74.55,3706517
2023-07-03,72.33,75.6,75.7,75.1,75.1,2970341
2023-07-04,72.62,75.9,75.9,75.55,75.6,2692832
2023-07-05,72.33,75.6,76,75.45,75.95,2951727
2023-07-06,71.04,74.25,74.95,74.05,74.9,7452827
2023-07-07,70.8,74,74.35,73.65,73.95,3824056
2023-07-10,70.61,73.8,74.55,73.7,74,3620772
2023-07-11,71.61,74.85,74.85,74.2,74.2,1975222
2023-07-12,71.71,74.95,74.95,74.6,74.85,2905320
2023-07-13,72.47,75.75,76.3,75.65,75.7,3915764
2023-07-14,73,76.3,76.45,76,76,3140738
2023-07-17,73.14,76.45,76.6,76.25,76.3,5006378
2023-07-18,73.05,75,75.65,74.95,75.65,6246779
2023-07-19,72.76,74.7,75.4,74.6,75.1,3382111
2023-07-20,72.76,74.7,74.95,74.6,74.7,1614901
2023-07-21,71.69,73.6,73.7,73.1,73.6,5595959
2023-07-24,71.78,73.7,73.9,73.3,73.55,3725945
2023-07-25,72.56,74.5,74.7,73.75,73.75,3893158
2023-07-26,72.46,74.4,74.75,74.25,74.7,5078377
2023-07-27,72.81,74.75,74.95,74.6,74.7,2476002
2023-07-28,72.85,74.8,75,74.55,74.75,2749568
2023-07-31,72.56,74.5,75.5,74.15,75.3,2800980
2023-08-01,72.9,74.85,74.9,74.45,74.5,2319335
2023-08-02,72.08,74,74.85,73.75,74.8,7204713
2023-08-04,71.69,73.6,73.75,73.35,73.65,5542871
2023-08-07,72.17,74.1,74.35,73.7,73.7,4962708
2023-08-08,71.49,73.4,74.1,73.15,74.1,5397653
2023-08-09,71.59,73.5,73.8,73.1,73.4,2697665
2023-08-10,71.2,73.1,73.35,72.9,73.35,5255684
2023-08-11,71.05,72.95,73.6,72.9,73.3,3833019
2023-08-14,70.18,72.05,72.65,71.75,72.6,10539582
2023-08-15,70.22,72.1,72.5,71.95,72.35,3484892
2023-08-16,69.93,71.8,71.9,71.4,71.8,8488278
2023-08-17,70.03,71.9,72.1,71,71.35,4267754
2023-08-18,69.69,71.55,72.15,71.4,71.8,3525907
2023-08-21,69.45,71.3,72,71.15,71.75,3340312
2023-08-22,69.79,71.65,71.85,71.45,71.8,1649178
2023-08-23,70.32,72.2,72.3,71.7,71.7,2604803
2023-08-24,71.49,73.4,73.5,73,73.05,3940602
2023-08-25,70.27,72.15,72.65,72.05,72.65,2769907
2023-08-28,70.52,72.4,72.8,72.15,72.15,3486527
2023-08-29,70.86,72.75,72.75,72.15,72.5,2329438
2023-08-30,71.2,73.1,73.5,73.05,73.2,1388643
2023-08-31,70.71,72.6,73.1,72.5,73.1,1977302
2023-09-01,70.81,72.7,72.95,72.4,72.55,2230793
2023-09-04,71.3,73.2,73.25,72.5,72.65,2543759
2023-09-05,71.2,73.1,73.15,72.85,73.1,1511067
2023-09-06,70.96,72.85,73.35,72.8,73.1,4127223
2023-09-07,70.32,72.2,72.55,72.1,72.55,2384671
2023-09-08,70.03,71.9,72,71.65,71.95,2928644
2023-09-11,69.79,71.65,72,71.4,71.9,3960167
2023-09-12,70.32,72.2,72.2,71.45,71.75,1694811
2023-09-13,70.37,72.25,72.5,72.05,72.25,1859118
2023-09-14,71.34,73.25,73.25,72.5,72.5,1696620
2023-09-15,71.59,73.5,73.55,73.2,73.25,2835965
2023-09-18,70.91,72.8,73.25,72.75,73.2,4935142
2023-09-19,70.61,72.5,72.85,72.5,72.8,1899186
2023-09-20,70.18,72.05,72.4,72,72.35,2732510
